Пользователь,Дата,Комментарий,Рейтинг,Название заведения,Средняя оценка,Кол-во оценок
Xenia 💋,"22 февраля 2025, отредактирован","поступила на магистратуру. теперь начнем с самого начала. почему приемная комиссия это дети 1го курса? когда они начали говорить про магистратуру, цитирую «ну, у вас в конце будет ну этот, типа дипломки но это не дипломная работа» Это называется диссертацией. 2й момент, нам без выбора просто пихнули любой иностранный язык, хотя, я надеялась на выбор что продолжу учить тот язык, который я изучала на бакалавриате🤦‍♀️ 3ц момент, я подавалась на казахское отделение т.к. предметы по типу психология, педагогика мне понятней учить на казахском. итог: мы все в русском отделении.
организованности в этом унике 0. всем лишь бы нажиться на денюжках😍 идешь с проблемой, тебя не выслушают и просто скажут скатертью дорога. в общем, очень жалею что поступила сюда, за такие деньги лучше поступить в другой универ и платить действительно за ЧТО-ТО.
и все пытаются учить тебя жизни😂 ваших советов никто не спрашивал. один преподаватель вообще говорил чтобы мы после работы не приходили на пары уставшими и не зевали на уроке. к магистрантам они вовсе не лояльны, хотя я слышала совсем другое. +ставят ультиматум, будто они будут платить за кв, еду, коммуналку, кредиты, расходы и т.д. в январе, когда было сильное землетрясение, уник отменил пары а нам преподаватель сказала , нет, вы придете на пары🤣 здесь оказывается и умереть можно если вдруг что. не советую сюда поступать!!!",1,Университет международного бизнеса им. Кенжегали Сагадиева,4.4,1995
Арехус Негрус,"19 февраля 2025, отредактирован",Нормально,3,Университет международного бизнеса им. Кенжегали Сагадиева,4.4,1995
Пользователь Тугис,18 февраля 2025,"Не скажу плохо насчет универа, но сайт делал явно 47-хромосомный, додумался же писать белым по светлому 🗿",4,Университет международного бизнеса им. Кенжегали Сагадиева,4.4,1995
aeka moldasheva,"18 февраля 2025, отредактирован","платим столько бабла, а толку то??
лучше не пожалеть на образование и доплатив обучаться в ВУЗ-ах получше.
что администрация, что куратор всем абсолютно плевать что у студентов что-то не так, спрашиваешь у куратора, автоматически перенаправляет в 104 каб., вот честно, что угодно спросите - ответ один: «здравствуйте, в 104каб». ладно если б в этом 104 что то решили, там сидят глазами хлопают и направят еще кое куда, ради одной ерунды потом столько бегать приходится. насчет заявлений на пересдачи, их вообще принимают? или после того как написали сразу выбрасывают? довольно уважительные причины тоже отказывают. в общем никогда не понимала и наверное не пойму администрация нашего прекрасного зеленого домика. что насчет студентов, да, разумеется тут учатся прекрасные люди с открытой душой, но не стоит забывать про людей которые поливают грязью друг друга за спиной, очень много завистливых, лицемерных и язвительных клеветников.
почему приемная комиссия это перваши, неужели нельзя подобрать более квалифицированных специалистов?
если отбросить эти факторы, то да, я действительно считаю что тут более менее хорошее образование, учусь на ОП международные отношения и дипломатия, вроде все норм…",2,Университет международного бизнеса им. Кенжегали Сагадиева,4.4,1995
Амир Ярмахамбетов,12 февраля 2025,"Садыкова Жанар Ертаевна это лучшее, что есть в этом универе.",5,Университет международного бизнеса им. Кенжегали Сагадиева,4.4,1995
Kamil’ Bayramov,"11 февраля 2025, отредактирован",Дали поспать на лекции 10/10👍👏👏💪👍🥹🥹🥹🥹🥹🥹🥹,5,Университет международного бизнеса им. Кенжегали Сагадиева,4.4,1995
Masyonyaa 12,10 февраля 2025,"Все ужасно в этом универе! особенно администрация когда приходишь с проблемами они говорят ""нас не волнует"" ""не наши проблемы"" а когда приходишь отчислятся они с грустным голосом спрашивают ПАЧЕМУ😭😭😭😭😭 НЕ УХАДИ ПА БРАТСКИ",1,Университет международного бизнеса им. Кенжегали Сагадиева,4.4,1995
Radmila Arkinova,"8 февраля 2025, отредактирован","Обновите весь персонал, начиная от охранников и преподавателей до администрации!
Этот университет просто кричит о тотальном непрофессионализме!
С самого входа вас встречают вечно недовольные, хамоватые охранники, будто студенты здесь — нежеланные гости, а не люди, которые оплачивают свое обучение.
Преподавателей единицы, кто действительно грамотный — можно выделить от силы 2-3 человека. Остальные либо не умеют донести материал, либо считают, что их задача — завалить как можно больше студентов.
Обращение в администрацию — это отдельный квест на выживание.
— Заходишь с улыбкой, надеясь на помощь — в ответ получаешь хамство и оценивающий взгляд.
— Объясняешь проблему — тебя либо перебивают, либо вообще игнорируют.
— Если вы что-то хотите от куратора или администрации, забудьте, вам никто не поможет.
И даже во время сессии — полный беспредел. Проверяющая просто вырвала у меня лист прямо из рук, потому что сама не подошла и не удостоверилась, что я это я.
Оказывается, студенты здесь должны сидеть и ждать, пока кто-то соизволит выполнить свою работу.
Если у вас возникнет хоть одна проблема — вам просто скажут «идите отсюда» и закроют перед вами дверь.
Администрация этого универа даже минимальной поддержки студентам оказать не может.",1,Университет международного бизнеса им. Кенжегали Сагадиева,4.4,1995
Кәрім Амандықұлы,2 февраля 2025,Современной универ с добрыми людьми,5,Университет международного бизнеса им. Кенжегали Сагадиева,4.4,1995
Ratmir Charnutsky,31 января 2025,"Тема тема, на курилке получился, Ёж из бычков😂",5,Университет международного бизнеса им. Кенжегали Сагадиева,4.4,1995
Карина Оспанова,26 января 2025,"Уважаемая администрация, пожалуйста, решите все проблемы с расписанием, а также с учебными порталами. Неужели за 21 день каникул невозможно было все подготовить для комфортного обучения студентов. Также прошу, сделайте уже всем ОНАЙ и айди карты, или зачем тогда все это нужно, если все эти аспекты не налажены? Выполняйте свою работу по совести и в полном объеме, убедительная просьба.",1,Университет международного бизнеса им. Кенжегали Сагадиева,4.4,1995
Sandugash Tastanbekova,"22 января 2025, отредактирован",Уровень отношений,5,Университет международного бизнеса им. Кенжегали Сагадиева,4.4,1995
Yalkunzhan Abdukarimov,"22 января 2025, отредактирован",В данный момент я сам учусь. Получаю много практических знании в самом университете и в известных крупных компаниях на практиках. Благодарен за это университету)),5,Университет международного бизнеса им. Кенжегали Сагадиева,4.4,1995
s .,"21 января 2025, отредактирован",Студенты такие отзывчивые и позитивные,5,Университет международного бизнеса им. Кенжегали Сагадиева,4.4,1995
Akerke Serikova,"20 января 2025, отредактирован",Лучший университет😍,5,Университет международного бизнеса им. Кенжегали Сагадиева,4.4,1995
Ольга Бронч,"18 января 2025, отредактирован",Архитектура здания,5,Университет международного бизнеса им. Кенжегали Сагадиева,4.4,1995
ZZZ ZZZ,14 января 2025,"Университет привлекает заманчивым предложением и перспективами. По факту никто ничего не знает, элементарно дозвониться невозможно. Вопросов много, без ответов. Также студенты жалуются на пропускную систему, которая действительно усложняет а не упрощает доступ к ВУЗу. Объективно: сотрудники и преподаватели UIB всегда найдут повод или причину для взыскания оплаты чего нибудь со студентами. Найти и тем более дозвониться до ректора практически невозможно. Из нескольких номеров можно дозвониться на один, который переадресует вас в бесконечное ожидание без ответа. Прежде чем выбирать данный ВУЗ прошу внимательно подумать родителей своих детей и принять правильное решение с поступлением. Не факт что ваш ребёнок сможет закончить этот ВУЗ!!! Не рекомендуем!!!",1,Университет международного бизнеса им. Кенжегали Сагадиева,4.4,1995
Dastan Saken,11 января 2025,Спасибо сегодняшним студенткам,5,Университет международного бизнеса им. Кенжегали Сагадиева,4.4,1995
анёка кумыс,"5 января 2025, отредактирован","дорогие абитуриенты! выбирайте, пожалуйста, нормальный университет, и 1000 раз подумайте, прежде чем поступить в эту шарашкину контору!
Приемная комиссия обманет вас как только сможет. Что с работой можно совмещать - это вообще смешно. Каждый день разное неудобное расписание, ни туда ни сюда.
Администрация никогда не пойдет на уступки студентам, обращаются как со слугой, их ваши проблемы не интересуют! Только глаза закатят и скажут, мол, иди отсюда че ты от нас хочешь.
Задача каждого ""профессионала"" в этом горе-университете завалить вас, чтобы вы нахватались летников, и потом просто не могли перевестись! Ставят оценки по настроению, у каждого свои тараканы в голове. (Отдельное спасибо Гульнаре Маратовне, она действительно молодец!)
Что насчет внешнего вида - это просто тюряга! Идешь по узкому коридору, в котором пытаются пропихнуться 3000+- учеников, ремонта нет! Третий и цокольный этаж просто отвращение вызывают, как будто не в университете, а в дурке находишься!
Ну и конечно же самое ужасное здесь - это математичка Дальбекова. Такое ощущение, будто обижена на детей и терпеть их не может! Орет при объяснении материала, обделяет учеников, называет «двоечниками» и «летниками». Ничего человеческого, из-за нее давление поднимается только.
В общем, позор!",1,Университет международного бизнеса им. Кенжегали Сагадиева,4.4,1995
Сая Кенжегулова,"3 января 2025, отредактирован","Первый Бизнес ВУЗ Казахстана. Самый лучший ВУЗ, лучшие преподаватели, лучший коллектив, лучшие студенты. Качественное образование!!!",5,Университет международного бизнеса им. Кенжегали Сагадиева,4.4,1995
Safi A,31 декабря 2024,"Позорный Универ, вместе с позорной администрации. Случилось проблема, по которой преподаватель мне выставил за Вск 0 баллов, по его вине) он поздно выставил оценку. Пыталась разобраться с этим месяц! Все отправляли иди туда или туда. Дошла до директора. Это просто ужас, а не директор. В школах даже не общаются с тобой так, как общаются они тут. Сделали меня виноватой во всем, при ней признает учитель свою вину, но она продолжает делать меня виноватой и орет просто истерическим голосом. Я такое отношение вижу в первый раз в своей жизни, никто тебе тут даже вежливого слова не скажет, а общение директора со студентами меня просто шокировало) зато как деньги Брать так они напоминают чуть ли не каждый день об оплате, но как только столкнешься с какой-нибудь проблемой, они сделают обязательно тебя виноватой во всем. Это просто ужас. Некомпетентная администрация- залог лица вашего универа. Зато в начале все так описывают ярко этот универ. А тут просто бардак",1,Университет международного бизнеса им. Кенжегали Сагадиева,4.4,1995
Не указано,"14 января 2025, отредактирован","Я училась в АУЭСе. Благодаря своих преподавателей я нашла в себе любовь к науке. Спасибо что они познакомили меня с наукой, и жизней технарей🤍",5,Energo University,4.6,1323
Елизавета Енова,"8 апреля 2025, отредактирован","Грустно, лифта нет. Столовая огонь, она спасает ситуацию",3,Energo University,4.6,1323
Қажымуқан,"28 марта 2025, отредактирован","Бұл университетте сабақты жақсы көріп оқығаның соншалық,бір сабақты екі рет оқисың😍 оқу семестрда и жазда 💝",5,Energo University,4.6,1323
Rakhmet Rashiduly🦎,"27 марта 2025, отредактирован",Жаман емес,5,Energo University,4.6,1323
Ерсултан Баделхан,"25 марта 2025, отредактирован",Пачиму а блок лучше чем б,5,Energo University,4.6,1323
Bekjigit Tugelbaev,18 марта 2025,А У Э С,5,Energo University,4.6,1323
Nurshat Uteliyeva,"17 марта 2025, отредактирован",Мой любимый университет❤️✅,5,Energo University,4.6,1323
Crio Sheik,16 марта 2025,"Отзыв:

Университет вполне хороший, без лишней показухи. Администрация, деканаты и колледжи всегда внимательно и вежливо относятся к студентам, учитывая их мнения. Это создаёт атмосферу уважения и человечности. Те, кто пишет негативные отзывы, зачастую делают это без объективных причин. Стоит помнить, что университет — это не просто место получения диплома, а прежде всего образовательный процесс, где важно взаимодействие с преподавателями и администрацией. Для тех, кто хочет получить качественное образование, АУЭС — это отличное место. Пожелаю университету дальнейшего развития и процветания!",5,Energo University,4.6,1323
⠀Miras Rysqulbek,"14 марта 2025, отредактирован",.,5,Energo University,4.6,1323
Yerbolat Burkhan,"13 марта 2025, отредактирован",Енді сыртын істесе болды👍🏻,5,Energo University,4.6,1323
Orazbek Sadu,"11 марта 2025, отредактирован",Керемет оқу орны.,5,Energo University,4.6,1323
Наз 🌸,"7 марта 2025, отредактирован","Не понимаю людей которые пишут плохие отзывы, университет прекрасный, новый ремонт, делают все для удобства студентов. Руководство максимально близки со студентами, была на встрече в четверг, где Проректоры выслушивают все что тревожит студентов👍 всегда улучшают качество, с каждым днем все лучше и лучше 🔥",5,Energo University,4.6,1323
Bolatov ㅤ,"21 февраля 2025, отредактирован",norm,4,Energo University,4.6,1323
Rei Exp,20 февраля 2025,Наверное не плохо.,3,Energo University,4.6,1323
Amantay TORE,4 февраля 2025,Студенттік шағымыздың куәсі😍,5,Energo University,4.6,1323
Нуржан Ергалиев,3 февраля 2025,"Являюсь студентом 3-го курса этого Универа, по всем любым вопросам можете не обращаться(грубо говоря вас отфутболят) куда подальше, не решают задачи в поставленные вами и руководством дедлайны(то есть не выполняют обязательства со своей стороны) даже ситуацию со справкой решили проводить через несколько этапов тем самым усложняя работу и себе и нам студентам, не понимаю нововведения которые сейчас внедряют буквально с каждым днем, у всех кипит голова и у студентов и у руководства, в 22/23 уч год всё было нормально, все нормально учились, но решили сменить платформу, и пошло поехало, учиться стало намного сложнее не в учебе а в решении проблем либо же согласовании каких то моментов, я конечно не эксперт в этой области, но если тот человек который устанавливает эти законы рамки правила или что нибудь еще, попробует себя поставить на место студента, он грубо говоря будет в шоке, простой совет вам, да может вы скажете что я никто и тд. но и мнения студентов учитывать научиться вам надо, итак простой совет, не усложняйте систему пожалуйста, реально если вы не хотите чтоб и студенты перестали жаловаться и наконец учиться, также и касается преподавателей, все мы люди, и всем свойственно принимать простую информацию по решению проблем, надеюсь что вы услышали не только меня но и студентов всего вуза, пожалуйста примите решения🙏🏻",2,Energo University,4.6,1323
Eldos Bekturganov🪐,31 января 2025,Good university,5,Energo University,4.6,1323
Saya Baizakova,30 января 2025,Самый лучший вуз👍,5,Energo University,4.6,1323
Darkhan Sadykov,22 января 2025,"если сравнить с другими униками города, то АУЭС самый худший. Начиная с общаги, заканчивая преподавателями которые не знают свою дисциплину.",1,Energo University,4.6,1323
Жасмин Витковская,"17 января 2025, отредактирован","Арман қуып 11 класстан кейін Алматыға түсемін деп, АУЭС таңдаған едім. Бірақ, аса қатты ақпарат алмағанмын оқу орны туралы. Басында келгенде ожидание / рельность болғаным бар енді. Расында да мен түсетін 2022 жылы ремонт өте ескі болды, кабинеттері нашар, кейде қатты салқын, кейде қатты ыстық, көбіне условия болмады. Алайда, 2024 жылы универдің ішін кішігірім реттеді.
Оқу , білім жағына келетін болсақ, студенттердің 70-80% грант алсам болды деп түсе салғандар. Өзім Бизнеспроцесстерді автоматтандыру және басқару мамандығында оқимын. Яғни біздің группа бұл мамандықты ең алғаш меңгерген группа) әрине мамандыққа деген дайындық аз, әлі де мұғалімдердің өздері дұрыс білмейді. Бастапқы 3 жыл 90% автоматтандыру және басқарудың пәндерін оқып шықтық. Өте жақсы және құзыретті емес те мұғалімдер бар. Студенттің түріне, ұлтына қарап жақтыртпайтындар да бар( өзім өзге ұлттың өкілімін, басымнан өтті) личная неприязнь бола қалады. Сабақты қанша жақсы оқысанда, бағанды кемітіп қояды. Бірақ 4 жұлдызды АУ кафедрасының мұғалімдері үшін қоямын. 90% өте білікті, өз пәнін толық білетін оқытушылар.Оқысан, оқығаныңа сай қояды. Оқымасан,өзіңе лайықты бағаңды қояды. Негативный отзыв жазғандар,сабаққа бармай, оқымай допуск алғысы келетіндер ғой. Мұғалімдер өте көп жеңілдіктер жасайды. Біздің кафедрада оқыту үшін өте жақсы жаңдайлар жасалған. Яғни,лабораториялық кабинеттер,программалар,компьютерлер👍. Бірақ,кабинеттің аздығы кемшіліктердің бірі. Бір аудиторияда екі сабақ қатарынан болады жиі.
Сабақ кестесімен біршама проблемалар бар. Әрине бұл кабинеттердің жетіспеушілігінен болады.
Жалпы сабағынды оқып,ынталансан,бар жағдай бар.Сабақтан қиналып,жылап оқитынымызды жоққа шығармайм😅
Бірақ студенттердің контингенті онша қатты ұнамайды.
Тағы да бір ыңғайсыз жері,білім беру жүйесінің жыл сайын ауысуы.3 курс оқып отырм,3 жыл әртүрлі жүйемен оқып келеміз. Емтихан да,3 жыл бойы, 3 түрлі формат пен шарттарда өтті.бәреуіне үйренісе алмай жүргенде, екінші жүйеге резко ауысу бағаға қатты әсер етеді",4,Energo University,4.6,1323
Жазира,14 января 2025,"Алматинский университет энергетики и связи имени Гумарбека Даукеева, самый лучший университет в Казахстане. На протяжении 50 лет АУЭС выпускает высококвалифицированных специалистов в области энергетики, связи и IT технологий. Выпускники вуза работают и занимают руководящие должности в крупных компаниях. Поступайте в Energo University",5,Energo University,4.6,1323
Dastish fantastish,"11 января 2025, отредактирован",место которое заставит тебя начать работать),5,Energo University,4.6,1323
Azamat Adilkhanov,"9 января 2025, отредактирован","Универ мне понравился, хочется поступить туда",5,Energo University,4.6,1323
Lauriel,"27 декабря 2024, отредактирован","Лучший университет в Алматы!
Особенно радуют учащиеся в данном учебном заведении.
Из учителей хочется выделить Толеуову Багилу за её отношение к студентам и непредвзятое отношение.",5,Energo University,4.6,1323
Kawaleric,26 декабря 2024,Лучший университет,5,Energo University,4.6,1323
Yakov Krasnozhenov,12 декабря 2024,Классный колледж,5,Energo University,4.6,1323
Ерзат Алимбек,"12 декабря 2024, отредактирован",Добрые учителя,5,Energo University,4.6,1323
Timur Shaimurat,6 декабря 2024,Альма Матер,5,Energo University,4.6,1323
А. Т. А.,"3 декабря 2024, отредактирован","Это из за Стаса. (Кто не понял тот ""л0х"")",1,Energo University,4.6,1323
Nullus Est,28 ноября 2024,"Хочу просто сказать, самый лучший преподаватель по иностранному языку это Акбота Утепбергеновна. Дала очень хорошие знания по материалу, к таким преподавателям хочется идти на пары. Побольше бы таких каждому",5,Energo University,4.6,1323
Мадияр Маташев,"24 ноября 2024, отредактирован",Учусь здесь вроде все устраивает,5,Energo University,4.6,1323
Дарын Маралбек,"21 ноября 2024, отредактирован","Студенттермен жұмыс, жақсы қарым қатынас, барып жүрген, оқим деген студенттерге керемет универ бастысы аты бар👍👍",5,Energo University,4.6,1323
Юз 🦈,"16 ноября 2024, отредактирован","энергетикте оқитын 3-курс студенті Сұлтанғалиев Даулетті танитындар барма?
танысаңдар 8-707-121-39-28",5,Energo University,4.6,1323
Malika Im,"12 ноября 2024, отредактирован",Классное оформление! В подробности не влезала ),2,Energo University,4.6,1323
71 Nurlan Azamtuly,"12 ноября 2024, отредактирован",Өте керемет білім ордасы,5,Energo University,4.6,1323
Abuka 31,"12 ноября 2024, отредактирован","Хороший уник, люди не будьте глупыми, преподаватели строгие да они будут спрашивать то чему вас учили чтоб вы получили образование. Зачем вы читаете отзывы 2гис ? Об униках их пишут люди которые хотят все на халяву. Поймите колледж тоже отличный преподотели требовательные так как они вас учат чтоб вы могли достояно работать в дальнейшем, пришли сюда не учиться а просто сидеть отчисляйтесь еще и занимаете гранитные места, многие хотят поступить учиться, а не учитесь да еще и занимаете грант место. Так не делает ся получили грант так учитесь нефиг сидеть и прото тратить свое время.",5,Energo University,4.6,1323
Nur S,"12 ноября 2024, отредактирован",Huйня полная,1,Energo University,4.6,1323
шакир бек,"9 ноября 2024, отредактирован",Хорошая столовая,5,Energo University,4.6,1323
Асем Джунусбекова,9 ноября 2024,"учусь так, кафетерий ничо такой и туалеты зачёт",5,Energo University,4.6,1323
Bekbolat Yeldosov,8 ноября 2024,Ауэс сила қалғандары терпила!!айдын краш,5,Energo University,4.6,1323
Нурислам Кулманов,"8 ноября 2024, отредактирован","Ауэс өте жақсы университет👍
Автомизация и управления♥️",5,Energo University,4.6,1323
Алихан Оразбаев,8 ноября 2024,Кафедра “автоматизация и управление” топ🙌🏻Лучшие преподаватели и соответственно лучшие студенты🤭,5,Energo University,4.6,1323
Aristanov Salamat,8 ноября 2024,Мен Автоматизация и управление кафедрасында оқимын кафедра мұғалімдері күшті👍👍👍,5,Energo University,4.6,1323
Nazym Alpysbai,"8 ноября 2024, отредактирован",Ауэс университетінде Автоматтандыру кафедрасы уан лавв🤍🤍естен кетпес студенттік кездерге рахмет !!!,5,Energo University,4.6,1323
Жанерке Жумаш,8 ноября 2024,"АУ да 3-ші курста окимын, самый топовый вуз😊🔥🔥",5,Energo University,4.6,1323
madeshev__a .,8 ноября 2024,"Ауэс оте жаксы университет 🔥🔥
АУк мамандыгынын мугалимдери сабакты оте жаксы тусирдиреди🔥👍🏻",5,Energo University,4.6,1323
Aidyn Zhanbyrbayev,8 ноября 2024,Автоматтандыру және басқару мамандығы өте керемет 👍👍👍,5,Energo University,4.6,1323
Нурлыбек Караманов,"8 ноября 2024, отредактирован","Energo university де Автоматтандыру жане
баскару мамандыгында окимын. Мугалімдері ете керемет, өте унайды ауес топ👍🏻👍🏻👍🏻",5,Energo University,4.6,1323
Ramazan Zineden,"8 ноября 2024, отредактирован",АУ мамандығы👍👍👍,5,Energo University,4.6,1323
Bekzhan Konyrbay,8 ноября 2024,Мен Ау-да оқимын апайлар жақсы сабақ түсіндіреді.,5,Energo University,4.6,1323
Не указано,12 июня 2023,"Универ хороший, почитав комментарии немного в шоке от них! Никогда за мою учебу не было плохого отношения ко мне. Все преподаватели и сотрудники очень приветливые, отзывчивые и профессионалы своего дела. На пары ходить было одно удовольствие.
Много пишут что к ним относились грубо, могли что то не так сказать и.т.д скорее всего вы сами позволяли себе относится не уважительно к преподавателям, а там уж извините какой привет такой ответ)
Еще не раз не пожалела что поступила сюда, и закончила его👍🏻",5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Walter,21 марта 2025,"К сожалению, впечатления от обучения в этом университете оставляют желать лучшего. Уже на этапе поступления многое было скрыто: информацию о процессе обучения в Санкт-Петербурге объясняли неполно и не совсем честно. Позже оказалось, что стоимость обучения регулярно повышается, а студентов ставят перед фактом без объяснений. Возникает много несостыковок, на которые руководство никак не реагирует. Обращения студентов остаются без ответа, как будто их мнение никого не интересует.

Качество образования тоже не оправдывает своих затрат. Особенно разочаровали занятия по социологии с преподавателем Аблаевой. Она ведёт себя предвзято: у неё есть свои любимчики, которым ставятся высокие оценки вне зависимости от их подготовки к занятиям. Остальным студентам оценки часто занижаются без объяснений.

Обстановка в деканате также оставляет неприятное впечатление. Хатько и Загородняя часто разговаривают со студентами резко и высокомерно, иногда даже на повышенных тонах. Вместо того чтобы помочь или дать нужную информацию, создаётся ощущение, что студент — это человек, к которому изначально настроены с раздражением и недоверием. Атмосфера в кабинете напряжённая, и уже при входе чувствуешь, что тебя не рады видеть.

Очень жаль, что руководство университета не обращает внимания на эти проблемы. Хочется надеяться, что ситуация изменится: отношение к студентам станет уважительным, процесс обучения — прозрачным, а преподаватели начнут оценивать знания объективно и справедливо. Университет должен быть местом, где хочется учиться, а не бороться за справедливость.",1,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Ирина Вольфовна,"11 марта 2025, отредактирован",Что на 3-этаже в 302 кабинете? Кто знает? ТяньШи?,5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Milka💜,"10 марта 2025, отредактирован",Бывало и лучше,1,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Марина Владимировна,5 марта 2025,"В деканате обитают настоящие животные,которые не могут нормально и спокойно обращаться со студентами.Универ полное дно,не рекомендую поступать в данное учреждение.",5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Ольга Увалеева (Бобкова),"16 февраля 2025, отредактирован",😀,5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Насвэгал 228,"4 февраля 2025, отредактирован",Прикольный уник Свэга получил,5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Fatuskar,"25 декабря 2024, отредактирован",Самый классный универ,5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Vad_ SQ,"13 декабря 2024, отредактирован","Отличный университет! Особая благодарность 2 группе психологии и в частности Г-ну Коляну, который обманул весь универ со своими Таро, и Г-ну Файзулину, потому что у него шикарные усы.",5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
чупапи йй,10 декабря 2024,"В универе ужасно холодно, никто не ходит и не проверяет батареи!! Они еле теплые, ближе к холодному. По санпин нормам они явно не греют, на улице температура в -, а студенты сидят в холоде!!!!!",1,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
S 🥷,"30 ноября 2024, отредактирован",ДЭ24БИНФ1 рулит. Люблю школьников на обед😋,5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Жумабек Сергеевич,30 ноября 2024,Идеальный университет. Каждый день школьники на обед 😋,5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Адель Байзакова,21 ноября 2024,"Отчислилась с АФ СПбГУП 1.5 года назад. И всё еще вспоминаю это время, как страшный сон.
Плохо всё, начиная с формата и срока обучения! Обещают 4 года и очную форму. А по итогу, по приходу в универ, вскрываются «приятные подробности», что всё зависит от того наберется-ли достаточно человек в группе.
Те, кто ведутся на обучение в Санкт-Петербурге, спешу разочаровать… Его не будет!
Качество знаний оставляет желать лучшего. По пальцам одной руки могу пересчитать грамотных преподавателей, которые действительно научили полезным навыкам.
В деканате творится полный беспредел. Так вдобавок к этому, еще и за всё нужно платить. К примеру, справка о месте обучения по месту требования обойдется вам в 200 тенге)
Инфраструктура оставляет желать лучшего. Даже комментариев на этот счет нет.
Если вы хотите поступить сюда, скажите «нет» самовыражению: снимайте пирсинги, перекрашивайте волосы.
Ну и вишенка на торте, правила университета настолько абсурдны, что даже за сладкосодержащие напитки вы получите выговор(
В общем, говорить могу долго, но лучше сдавайте ЕНТ, и не наступайте на те же грабли, что и я!😁",1,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
